Date : 2023-03-12 00:10:58
Directory : d:\FancyFlame\cream-rs
Total : 83 files,  3479 codes, 73 comments, 700 blanks, all 4252 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Rust     |         69 |      3,128 |         69 |        605 |      3,802 |
| Markdown |          8 |        304 |          0 |         79 |        383 |
| TOML     |          5 |         46 |          4 |         16 |         66 |
| XML      |          1 |          1 |          0 |          0 |          1 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         83 |      3,479 |         73 |        700 |      4,252 |
| . (Files)                                                                            |          2 |          5 |          0 |          3 |          8 |
| cream                                                                                |          3 |         18 |          1 |          7 |         26 |
| cream (Files)                                                                        |          1 |          7 |          1 |          3 |         11 |
| cream\src                                                                            |          2 |         11 |          0 |          4 |         15 |
| cream_backend                                                                        |          8 |        261 |          1 |         59 |        321 |
| cream_backend (Files)                                                                |          1 |         17 |          1 |          5 |         23 |
| cream_backend\src                                                                    |          7 |        244 |          0 |         54 |        298 |
| cream_backend\src (Files)                                                            |          1 |          3 |          0 |          2 |          5 |
| cream_backend\src\runtime                                                            |          3 |        107 |          0 |         25 |        132 |
| cream_backend\src\window                                                             |          3 |        134 |          0 |         27 |        161 |
| cream_core                                                                           |         40 |      1,575 |         48 |        326 |      1,949 |
| cream_core (Files)                                                                   |          1 |          9 |          1 |          3 |         13 |
| cream_core\examples                                                                  |          2 |        146 |          0 |         35 |        181 |
| cream_core\src                                                                       |         37 |      1,420 |         47 |        288 |      1,755 |
| cream_core\src (Files)                                                               |          2 |         55 |          2 |         15 |         72 |
| cream_core\src\element                                                               |          3 |        125 |          5 |         24 |        154 |
| cream_core\src\event                                                                 |         14 |        556 |          1 |        121 |        678 |
| cream_core\src\event (Files)                                                         |          2 |         46 |          0 |         15 |         61 |
| cream_core\src\event\event_state                                                     |         10 |        434 |          1 |         84 |        519 |
| cream_core\src\event\event_state (Files)                                             |          1 |         15 |          0 |          4 |         19 |
| cream_core\src\event\event_state\build                                               |          4 |        144 |          0 |         29 |        173 |
| cream_core\src\event\event_state\proxy                                               |          3 |        192 |          1 |         31 |        224 |
| cream_core\src\event\event_state\wrap                                                |          2 |         83 |          0 |         20 |        103 |
| cream_core\src\event\global_register                                                 |          2 |         76 |          0 |         22 |         98 |
| cream_core\src\macro_helper                                                          |          3 |         42 |          1 |         11 |         54 |
| cream_core\src\render                                                                |          1 |         55 |          0 |          8 |         63 |
| cream_core\src\structure                                                             |          9 |        454 |         13 |         82 |        549 |
| cream_core\src\structure (Files)                                                     |          7 |        337 |          5 |         64 |        406 |
| cream_core\src\structure\add_child                                                   |          2 |        117 |          8 |         18 |        143 |
| cream_core\src\style                                                                 |          5 |        133 |         25 |         27 |        185 |
| cream_macros                                                                         |         22 |      1,318 |         23 |        228 |      1,569 |
| cream_macros (Files)                                                                 |          1 |         11 |          1 |          4 |         16 |
